Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV031,CH007-CH008,,,5/19/2018 17:22,5/19/2018 17:31,178.326,328.14,42.944,35.5,92
EV031,CH007-CH008,,,5/19/2018 16:06,5/19/2018 16:07,266.785,342.06,3.839,58.5,63.5
EV031,CH007-CH008,,,5/19/2018 15:05,5/19/2018 15:10,179.75,294.2,13.141,57,76
EV031,CH007-CH008,,,5/19/2018 14:06,5/19/2018 14:13,219.636,373.44,23.986,65.5,100
EV031,CH007-CH008,,,5/19/2018 13:00,5/19/2018 13:10,204.15,296.24,30.104,59.5,99
EV031,CH007-CH008,,,5/19/2018 12:00,5/19/2018 12:11,238.635,322.42,43.914,36.5,94.5
EV031,CH007-CH008,,,5/19/2018 9:58,5/19/2018 10:03,254.473,294.5,17.48,76.5,100
EV031,CH007-CH008,,,5/19/2018 8:54,5/19/2018 9:05,312.936,377.68,28.905,52.5,100
EV031,CH007-CH008,,,5/18/2018 19:22,5/18/2018 19:29,189.18,250.48,20.879,72,99.5
EV031,CH007-CH008,,,5/18/2018 18:15,5/18/2018 18:22,217.44,235.22,18.545,75,100
EV031,CH007-CH008,,,5/18/2018 17:05,5/18/2018 17:14,220.515,300,33.791,53,97.5
EV031,CH007-CH008,,,5/18/2018 16:15,5/18/2018 16:17,277.84,306.72,9.914,77.5,89.5
EV031,CH007-CH008,,,5/18/2018 15:18,5/18/2018 15:23,210.737,361.72,23.279,57,89
EV031,CH007-CH008,,,5/18/2018 14:02,5/18/2018 14:05,207.204,272.98,7.769,59,72.5
EV031,CH007-CH008,,,5/18/2018 13:05,5/18/2018 13:10,274.359,284.56,18.676,74,97.5
EV031,CH007-CH008,,,5/18/2018 12:05,5/18/2018 12:11,284.402,370.54,20.978,72.5,100
EV031,CH007-CH008,,,5/18/2018 11:03,5/18/2018 11:05,168.937,248.82,5.012,66.5,76
EV031,CH007-CH008,,,5/18/2018 10:10,5/18/2018 10:10,104.666,113.6,0.96,93,94
EV031,CH007-CH008,,,5/18/2018 9:02,5/18/2018 9:12,231.024,282.52,15.885,48.5,98.5
EV031,CH007-CH008,,,5/18/2018 8:10,5/18/2018 8:15,204.234,211.84,17.569,57,80.5
EV031,CH007-CH008,,,5/18/2018 7:05,5/18/2018 7:10,275.252,307.62,23.497,47.5,79
EV031,CH007-CH008,,,5/18/2018 6:10,5/18/2018 6:15,10.452,132.38,19.03,53.5,79
EV031,CH007-CH008,,,5/17/2018 19:23,5/17/2018 19:31,249.235,276.34,26.538,61.5,100
EV031,CH007-CH008,,,5/17/2018 18:20,5/17/2018 18:22,69.147,170.7,1.842,96.5,100
EV031,CH007-CH008,,,5/17/2018 17:08,5/17/2018 17:17,242.137,312.06,34.033,54,100
EV031,CH007-CH008,,,5/17/2018 16:06,5/17/2018 16:14,210.284,277.42,29.611,52.5,91.5
EV031,CH007-CH008,,,5/17/2018 15:14,5/17/2018 15:19,295.845,351.1,28.279,54.5,91
EV031,CH007-CH008,,,5/17/2018 14:05,5/17/2018 14:09,159.692,206.5,9.864,86,100
EV031,CH007-CH008,,,5/17/2018 12:59,5/17/2018 13:09,195.642,287.04,32.339,55.5,97.5
EV031,CH007-CH008,,,5/17/2018 12:01,5/17/2018 12:09,290.552,350.56,34.536,51,96.5
EV031,CH007-CH008,,,5/17/2018 11:05,5/17/2018 11:11,247.581,368.96,24.339,58,90
EV031,CH007-CH008,,,5/17/2018 10:06,5/17/2018 10:12,261.964,348.66,26.728,53.5,88
EV031,CH007-CH008,,,5/17/2018 9:10,5/17/2018 9:13,203.345,214.6,10.107,81.5,94.5
EV031,CH007-CH008,,,5/17/2018 8:09,5/17/2018 8:17,210.58,341.4,38.219,42.5,92.5
EV031,CH007-CH008,,,5/17/2018 7:07,5/17/2018 7:12,224.778,323.16,27.472,47,83
EV031,CH007-CH008,,,5/17/2018 6:15,5/17/2018 6:15,168.889,276.68,0.991,,81
EV031,CH007-CH008,,,5/16/2018 18:37,5/16/2018 18:45,208.525,232.12,25.688,56,90
EV031,CH007-CH008,,,5/16/2018 17:35,5/16/2018 17:40,206.704,210.06,17.257,66.5,91
EV031,CH007-CH008,,,5/16/2018 16:25,5/16/2018 16:29,271.89,302.92,14.741,80,100
EV031,CH007-CH008,,,5/16/2018 14:26,5/16/2018 14:32,232.064,332.5,25.558,63.5,100
EV031,CH007-CH008,,,5/16/2018 13:24,5/16/2018 13:32,252.431,375.58,29.963,57.5,100
EV031,CH007-CH008,,,5/16/2018 12:26,5/16/2018 12:34,223.449,242.32,26.142,62.5,99
EV031,CH007-CH008,,,5/16/2018 11:22,5/16/2018 11:30,191.48,313.06,23.332,66,100
EV031,CH007-CH008,,,5/16/2018 10:20,5/16/2018 10:25,276.074,348.94,20.091,73.5,100
EV031,CH007-CH008,,,5/16/2018 9:19,5/16/2018 9:25,222.632,357.58,24.319,65.5,100
EV031,CH007-CH008,,,5/16/2018 8:22,5/16/2018 8:30,235.848,280.2,28.06,60.5,100
EV031,CH007-CH008,,,5/16/2018 7:24,5/16/2018 7:33,216.879,377.88,26.891,62,99.5
EV031,CH007-CH008,,,5/16/2018 6:24,5/16/2018 6:34,162.449,228.86,26.289,63,100
EV031,CH007-CH008,,,5/15/2018 17:55,5/15/2018 18:01,225.126,274.8,20.314,73,100
EV031,CH007-CH008,,,5/15/2018 16:44,5/15/2018 16:50,341.163,367.66,25.289,63.5,100
EV031,CH007-CH008,,,5/15/2018 15:46,5/15/2018 15:50,243.739,355.78,16.096,56,78
EV031,CH007-CH008,,,5/15/2018 13:50,5/15/2018 13:55,190.045,236.78,13.753,81,98.5
EV031,CH007-CH008,,,5/15/2018 12:49,5/15/2018 12:54,213.888,297.58,20.324,65.5,94.5
EV031,CH007-CH008,,,5/15/2018 11:50,5/15/2018 11:51,96.342,108.64,1.457,97.5,99.5
EV031,CH007-CH008,,,5/15/2018 10:50,5/15/2018 10:53,326.973,374.68,18.097,72,95
EV031,CH007-CH008,,,5/15/2018 9:43,5/15/2018 9:48,299.489,357.5,19.502,74,100
EV031,CH007-CH008,,,5/15/2018 8:44,5/15/2018 8:51,188.731,357.12,2.889,63.5,100
EV031,CH007-CH008,,,5/15/2018 7:45,5/15/2018 7:51,196.503,308.92,19.579,72.5,98
